n, training_error, validation_error
1 , 0.14074593836 , 0.324154078241
2 , 0.142985912452 , 0.302696300948
3 , 0.0406433853295 , 0.280274340089
4 , 0.0510822043504 , 0.282845041195
5 , 0.0104550116047 , 0.273727789648
6 , 0.0135963728612 , 0.269544427531
7 , 0.0 , 0.275026451054
8 , 0.0 , 0.273199109879
9 , 0.0 , 0.276075619296
10 , 0.0 , 0.273217540291
11 , 0.0 , 0.266179170905
12 , 0.0 , 0.262254517157
13 , 0.0 , 0.267991153402
14 , 0.0 , 0.260432295542
15 , 0.0 , 0.26330982887
16 , 0.0 , 0.26279753169
17 , 0.0 , 0.265928653829
18 , 0.0 , 0.26409824092
19 , 0.0 , 0.264624872864
20 , 0.0 , 0.259402581623
21 , 0.0 , 0.25888311706
22 , 0.0 , 0.262543942879
23 , 0.0 , 0.263581848092
24 , 0.0 , 0.266187362199
25 , 0.0 , 0.260967118781
26 , 0.0 , 0.258881069237
27 , 0.0 , 0.261488631167
28 , 0.0 , 0.258355461204
29 , 0.0 , 0.262531655938
30 , 0.0 , 0.263575704622
31 , 0.0 , 0.262009119641
32 , 0.0 , 0.263575704622
33 , 0.0 , 0.26748909534
34 , 0.0 , 0.266708874584
35 , 0.0 , 0.264620777217
36 , 0.0 , 0.264620777217
37 , 0.0 , 0.267758042827
38 , 0.0 , 0.266706826761
39 , 0.0 , 0.267236530441
40 , 0.0 , 0.267498310546
41 , 0.0 , 0.268543383141
42 , 0.0 , 0.270629432685
43 , 0.0 , 0.272714458317
44 , 0.0 , 0.273757483088
45 , 0.0 , 0.271412725175
46 , 0.0 , 0.272719577875
47 , 0.0 , 0.273765674382
48 , 0.0 , 0.273504918189
49 , 0.0 , 0.272198065489
